job_index,test_type,data_source,n_obs,n_perms,d_cats,epsilon,x_data,y_data,p_val_chisq_std,p_val_chisq_sim,p_val_perm_u,s3_filename
0,independence,real,20,10,300,0.0,home_data_x.rds,home_data_x.rds,0.761072103011839,1.0,0.181818181818182,sim_out_independence_real_n20_cats300_epsilon0_idx0.csv
1,independence,real,20,10,300,0.0,home_data_x.rds,home_data_x.rds,0.761072103011839,1.0,0.181818181818182,sim_out_independence_real_n20_cats300_epsilon0_idx1.csv
0,independence,real,40,10,300,0.0,home_data_x.rds,home_data_x.rds,0.725424055079777,1.0,0.181818181818182,sim_out_independence_real_n40_cats300_epsilon0_idx0.csv
1,independence,real,40,10,300,0.0,home_data_x.rds,home_data_x.rds,0.725424055079777,1.0,0.181818181818182,sim_out_independence_real_n40_cats300_epsilon0_idx1.csv
0,independence,real,60,10,300,0.0,home_data_x.rds,home_data_x.rds,0.567137638330126,0.636363636363636,1.0,sim_out_independence_real_n60_cats300_epsilon0_idx0.csv
1,independence,real,60,10,300,0.0,home_data_x.rds,home_data_x.rds,0.535049508180757,0.636363636363636,1.0,sim_out_independence_real_n60_cats300_epsilon0_idx1.csv
0,independence,real,20,10,300,0.0,home_data_x.rds,home_data_y.rds,0.553726181461898,0.909090909090909,0.545454545454545,sim_out_independence_real_n20_cats300_epsilon0_idx0.csv
1,independence,real,20,10,300,0.0,home_data_x.rds,home_data_y.rds,0.553726181461898,0.909090909090909,0.363636363636364,sim_out_independence_real_n20_cats300_epsilon0_idx1.csv
0,independence,real,40,10,300,0.0,home_data_x.rds,home_data_y.rds,0.342332402337164,0.272727272727273,0.545454545454545,sim_out_independence_real_n40_cats300_epsilon0_idx0.csv
1,independence,real,40,10,300,0.0,home_data_x.rds,home_data_y.rds,0.342332402337164,0.272727272727273,0.272727272727273,sim_out_independence_real_n40_cats300_epsilon0_idx1.csv
0,independence,real,60,10,300,0.0,home_data_x.rds,home_data_y.rds,0.191332506835061,0.0909090909090909,0.363636363636364,sim_out_independence_real_n60_cats300_epsilon0_idx0.csv
1,independence,real,60,10,300,0.0,home_data_x.rds,home_data_y.rds,0.191332506835061,0.0909090909090909,0.363636363636364,sim_out_independence_real_n60_cats300_epsilon0_idx1.csv
0,independence,multi_dense,20,10,100,0.0,home_data.rds,home_data.rds,,,0.909090909090909,sim_out_independence_multi_dense_n20_cats100_epsilon0_idx0.csv
1,independence,multi_dense,20,10,100,0.0,home_data.rds,home_data.rds,,,0.0909090909090909,sim_out_independence_multi_dense_n20_cats100_epsilon0_idx1.csv
0,independence,multi_dense,20,10,10,0.0,home_data.rds,home_data.rds,,,0.636363636363636,sim_out_independence_multi_dense_n20_cats10_epsilon0_idx0.csv
1,independence,multi_dense,20,10,10,0.0,home_data.rds,home_data.rds,0.587667728927975,0.727272727272727,0.727272727272727,sim_out_independence_multi_dense_n20_cats10_epsilon0_idx1.csv
0,independence,multi_dense,20,10,300,0.0,home_data.rds,home_data.rds,,,0.818181818181818,sim_out_independence_multi_dense_n20_cats300_epsilon0_idx0.csv
1,independence,multi_dense,20,10,300,0.0,home_data.rds,home_data.rds,,,0.363636363636364,sim_out_independence_multi_dense_n20_cats300_epsilon0_idx1.csv
0,independence,multi_dense,20,10,500,0.0,home_data.rds,home_data.rds,,,1.0,sim_out_independence_multi_dense_n20_cats500_epsilon0_idx0.csv
1,independence,multi_dense,20,10,500,0.0,home_data.rds,home_data.rds,,,0.727272727272727,sim_out_independence_multi_dense_n20_cats500_epsilon0_idx1.csv
